learning_rate,max_iter,alpha,train_mse,val_mse,n_iter
0.001,500,0.0001,0.545869682069215,0.5366185031146027,12
0.001,500,0.001,0.545883418730553,0.5365806549994959,12
0.001,500,0.01,0.5460542385887479,0.5362501650667394,12
0.001,500,0.1,0.5498650814373969,0.5361870744993427,12
0.001,1000,0.0001,0.545869682069215,0.5366185031146027,12
0.001,1000,0.001,0.545883418730553,0.5365806549994959,12
0.001,1000,0.01,0.5460542385887479,0.5362501650667394,12
0.001,1000,0.1,0.5498650814373969,0.5361870744993427,12
0.001,2000,0.0001,0.545869682069215,0.5366185031146027,12
0.001,2000,0.001,0.545883418730553,0.5365806549994959,12
0.001,2000,0.01,0.5460542385887479,0.5362501650667394,12
0.001,2000,0.1,0.5498650814373969,0.5361870744993427,12
0.001,3000,0.0001,0.545869682069215,0.5366185031146027,12
0.001,3000,0.001,0.545883418730553,0.5365806549994959,12
0.001,3000,0.01,0.5460542385887479,0.5362501650667394,12
0.001,3000,0.1,0.5498650814373969,0.5361870744993427,12
0.001,5000,0.0001,0.545869682069215,0.5366185031146027,12
0.001,5000,0.001,0.545883418730553,0.5365806549994959,12
0.001,5000,0.01,0.5460542385887479,0.5362501650667394,12
0.001,5000,0.1,0.5498650814373969,0.5361870744993427,12
0.01,500,0.0001,0.5551059643003439,0.5479216669176127,12
0.01,500,0.001,0.5550754631185433,0.5477914255889225,12
0.01,500,0.01,0.5549108561973592,0.5467992793388046,12
0.01,500,0.1,0.557040993948338,0.5450436775019473,12
0.01,1000,0.0001,0.5551059643003439,0.5479216669176127,12
0.01,1000,0.001,0.5550754631185433,0.5477914255889225,12
0.01,1000,0.01,0.5549108561973592,0.5467992793388046,12
0.01,1000,0.1,0.557040993948338,0.5450436775019473,12
0.01,2000,0.0001,0.5551059643003439,0.5479216669176127,12
0.01,2000,0.001,0.5550754631185433,0.5477914255889225,12
0.01,2000,0.01,0.5549108561973592,0.5467992793388046,12
0.01,2000,0.1,0.557040993948338,0.5450436775019473,12
0.01,3000,0.0001,0.5551059643003439,0.5479216669176127,12
0.01,3000,0.001,0.5550754631185433,0.5477914255889225,12
0.01,3000,0.01,0.5549108561973592,0.5467992793388046,12
0.01,3000,0.1,0.557040993948338,0.5450436775019473,12
0.01,5000,0.0001,0.5551059643003439,0.5479216669176127,12
0.01,5000,0.001,0.5550754631185433,0.5477914255889225,12
0.01,5000,0.01,0.5549108561973592,0.5467992793388046,12
0.01,5000,0.1,0.557040993948338,0.5450436775019473,12
0.05,500,0.0001,0.7210257735696589,0.6964485029612513,7
0.05,500,0.001,0.7206574243126762,0.6960540574888636,7
0.05,500,0.01,0.717152830809327,0.6922981907790497,7
0.05,500,0.1,0.6553099651933778,0.6527386952644489,8
0.05,1000,0.0001,0.7210257735696589,0.6964485029612513,7
0.05,1000,0.001,0.7206574243126762,0.6960540574888636,7
0.05,1000,0.01,0.717152830809327,0.6922981907790497,7
0.05,1000,0.1,0.6553099651933778,0.6527386952644489,8
0.05,2000,0.0001,0.7210257735696589,0.6964485029612513,7
0.05,2000,0.001,0.7206574243126762,0.6960540574888636,7
0.05,2000,0.01,0.717152830809327,0.6922981907790497,7
0.05,2000,0.1,0.6553099651933778,0.6527386952644489,8
0.05,3000,0.0001,0.7210257735696589,0.6964485029612513,7
0.05,3000,0.001,0.7206574243126762,0.6960540574888636,7
0.05,3000,0.01,0.717152830809327,0.6922981907790497,7
0.05,3000,0.1,0.6553099651933778,0.6527386952644489,8
0.05,5000,0.0001,0.7210257735696589,0.6964485029612513,7
0.05,5000,0.001,0.7206574243126762,0.6960540574888636,7
0.05,5000,0.01,0.717152830809327,0.6922981907790497,7
0.05,5000,0.1,0.6553099651933778,0.6527386952644489,8
0.1,500,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,500,0.001,1.5420005699199733,1.3594856612793318,7
0.1,500,0.01,1.5184867331859866,1.336064689189035,7
0.1,500,0.1,0.9192205054836132,0.9370977192271033,8
0.1,1000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,1000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,1000,0.01,1.5184867331859866,1.336064689189035,7
0.1,1000,0.1,0.9192205054836132,0.9370977192271033,8
0.1,2000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,2000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,2000,0.01,1.5184867331859866,1.336064689189035,7
0.1,2000,0.1,0.9192205054836132,0.9370977192271033,8
0.1,3000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,3000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,3000,0.01,1.5184867331859866,1.336064689189035,7
0.1,3000,0.1,0.9192205054836132,0.9370977192271033,8
0.1,5000,0.0001,1.5458289133959944,1.3632154318876792,7
0.1,5000,0.001,1.5420005699199733,1.3594856612793318,7
0.1,5000,0.01,1.5184867331859866,1.336064689189035,7
0.1,5000,0.1,0.9192205054836132,0.9370977192271033,8
0.2,500,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,500,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,500,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,500,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,1000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,1000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,1000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,1000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,2000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,2000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,2000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,2000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,3000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,3000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,3000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,3000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
0.2,5000,0.0001,7.754813672983834e+23,7.058241325668823e+23,6
0.2,5000,0.001,9.901190158077472e+23,8.951066458780497e+23,6
0.2,5000,0.01,1.2390223213582055e+24,1.1900226158035836e+24,6
0.2,5000,0.1,1.5517025436824848e+23,1.4912058485934575e+23,6
